Price,Weight
853.00 ,0.47
1041.00 ,0.48
1120.00 ,0.48
923.00 ,0.45
923.00 ,0.45
1087.00 ,0.46
1159.00 ,0.48
900.00 ,0.41
824.00 ,0.41
914.00 ,0.42
940.00 ,0.39
1219.00 ,0.47
1169.00 ,0.48
1103.00 ,0.47
900.00 ,0.41
1181.00 ,0.47
1034.00 ,0.45
1034.00 ,0.45
931.00 ,0.41
1038.00 ,0.43
994.00 ,0.43
1071.00 ,0.45
1277.00 ,0.48
1313.00 ,0.46
1313.00 ,0.46
879.00 ,0.37
808.00 ,0.4
1028.00 ,0.38
1011.00 ,0.42
1108.00 ,0.45
1159.00 ,0.42
1112.00 ,0.44
1373.00 ,0.47
1165.00 ,0.47
1144.00 ,0.44
923.00 ,0.36
714.00 ,0.31
1181.00 ,0.47
971.00 ,0.41
961.00 ,0.43
818.00 ,0.37
1276.00 ,0.46
994.00 ,0.43
963.00 ,0.41
1071.00 ,0.45
1009.00 ,0.44
1054.00 ,0.44
726.00 ,0.32
982.00 ,0.44
1021.00 ,0.42
775.00 ,0.36
820.00 ,0.33
959.00 ,0.4
1077.00 ,0.44
787.00 ,0.32
1144.00 ,0.45
1094.00 ,0.45
1144.00 ,0.45
1395.00 ,0.48
1462.00 ,0.48
1395.00 ,0.48
1011.00 ,0.43
1351.00 ,0.46
1351.00 ,0.46
1144.00 ,0.45
1018.00 ,0.38
939.00 ,0.37
1450.00 ,0.47
1039.00 ,0.41
1408.00 ,0.47
970.00 ,0.47
1022.00 ,0.46
818.00 ,0.38
881.00 ,0.31
898.00 ,0.32
1240.00 ,0.41
1030.00 ,0.37
1181.00 ,0.46
1166.00 ,0.43
1272.00 ,0.4
862.00 ,0.41
1086.00 ,0.49
1071.00 ,0.48
1200.00 ,0.46
963.00 ,0.41
1219.00 ,0.47
1238.00 ,0.48
1027.00 ,0.44
735.00 ,0.33
1009.00 ,0.4
1036.00 ,0.39
1080.00 ,0.39
1027.00 ,0.44
1195.00 ,0.45
1072.00 ,0.41
1308.00 ,0.47
848.00 ,0.37
1415.00 ,0.46
1455.00 ,0.46
1218.00 ,0.45
1389.00 ,0.46
909.00 ,0.37
909.00 ,0.37
909.00 ,0.37
1080.00 ,0.38
1435.00 ,0.48
1412.00 ,0.47
894.00 ,0.36
878.00 ,0.35
1139.00 ,0.48
961.00 ,0.45
1071.00 ,0.4
823.00 ,0.36
1126.00 ,0.43
1126.00 ,0.43
1249.00 ,0.43
908.00 ,0.34
1097.00 ,0.41
1172.00 ,0.42
941.00 ,0.36
1538.00 ,0.49
1216.00 ,0.39
1216.00 ,0.39
857.00 ,0.31
892.00 ,0.31
1561.00 ,0.47
1513.00 ,0.48
1143.00 ,0.38
1464.00 ,0.46
1236.00 ,0.44
1540.00 ,0.46
1267.00 ,0.38
1566.00 ,0.47
1449.00 ,0.46
1036.00 ,0.33
1301.00 ,0.42
1220.00 ,0.39
902.00 ,0.39
1324.00 ,0.43
1113.00 ,0.34
1420.00 ,0.39
1330.00 ,0.38
1182.00 ,0.37
1062.00 ,0.33
913.00 ,0.37
1156.00 ,0.45
1277.00 ,0.48
996.00 ,0.44
790.00 ,0.31
831.00 ,0.36
1049.00 ,0.45
1040.00 ,0.4
1128.00 ,0.45
775.00 ,0.3
776.00 ,0.41
834.00 ,0.34
1144.00 ,0.43
864.00 ,0.36
789.00 ,0.33
1058.00 ,0.41
1040.00 ,0.4
1068.00 ,0.39
1041.00 ,0.39
1111.00 ,0.44
1504.00 ,0.48
1075.00 ,0.42
1181.00 ,0.45
1234.00 ,0.45
1389.00 ,0.46
879.00 ,0.37
970.00 ,0.37
970.00 ,0.37
1143.00 ,0.38
1193.00 ,0.38
1143.00 ,0.38
1143.00 ,0.38
1292.00 ,0.45
1172.00 ,0.42
866.00 ,0.31
849.00 ,0.32
1164.00 ,0.39
1132.00 ,0.4
953.00 ,0.36
914.00 ,0.36
812.00 ,0.39
882.00 ,0.34
1030.00 ,0.34
1050.00 ,0.35
1260.00 ,0.39
1609.00 ,0.47
1308.00 ,0.41
1408.00 ,0.41
1577.00 ,0.46
1392.00 ,0.38
1330.00 ,0.38
1021.00 ,0.32
1067.00 ,0.32
1108.00 ,0.36
1159.00 ,0.36
1001.00 ,0.42
1019.00 ,0.43
1128.00 ,0.46
809.00 ,0.36
1598.00 ,0.47
1504.00 ,0.42
1504.00 ,0.42
1176.00 ,0.47
815.00 ,0.33
895.00 ,0.34
862.00 ,0.34
858.00 ,0.36
1027.00 ,0.44
1072.00 ,0.41
1009.00 ,0.4
1100.00 ,0.39
1120.00 ,0.4
901.00 ,0.33
901.00 ,0.33
882.00 ,0.34
882.00 ,0.34
1527.00 ,0.49
953.00 ,0.36
914.00 ,0.36
970.00 ,0.37
1177.00 ,0.47
882.00 ,0.3
1094.00 ,0.43
849.00 ,0.32
955.00 ,0.34
866.00 ,0.31
1218.00 ,0.45
1144.00 ,0.44
1427.00 ,0.46
1571.00 ,0.49
1425.00 ,0.49
1080.00 ,0.38
970.00 ,0.37
1080.00 ,0.38
1080.00 ,0.38
1205.00 ,0.38
1260.00 ,0.38
986.00 ,0.34
1609.00 ,0.47
1641.00 ,0.48
1104.00 ,0.42
1430.00 ,0.45
1237.00 ,0.42
948.00 ,0.32
968.00 ,0.31
1175.00 ,0.48
1005.00 ,0.35
1116.00 ,0.39
1387.00 ,0.49
1092.00 ,0.47
1401.00 ,0.4
986.00 ,0.34
1325.00 ,0.49
1172.00 ,0.39
1215.00 ,0.41
978.00 ,0.36
1071.00 ,0.36
1091.00 ,0.37
1091.00 ,0.37
1091.00 ,0.37
986.00 ,0.34
1025.00 ,0.36
1080.00 ,0.36
1166.00 ,0.41
1324.00 ,0.39
1299.00 ,0.38
1085.00 ,0.34
1316.00 ,0.43
997.00 ,0.3
1019.00 ,0.31
1130.00 ,0.36
1381.00 ,0.44
1334.00 ,0.42
1737.00 ,0.48
1587.00 ,0.48
1359.00 ,0.38
1203.00 ,0.37
1243.00 ,0.37
1392.00 ,0.38
1664.00 ,0.46
1504.00 ,0.46
1071.00 ,0.32
1071.00 ,0.3
1589.00 ,0.46
1641.00 ,0.49
1117.00 ,0.34
1109.00 ,0.45
1457.00 ,0.43
1531.00 ,0.43
1488.00 ,0.39
1488.00 ,0.39
1476.00 ,0.41
1163.00 ,0.36
1172.00 ,0.32
1276.00 ,0.5
1276.00 ,0.5
1301.00 ,0.5
1522.00 ,0.5
1279.00 ,0.5
1524.00 ,0.5
1206.00 ,0.5
1365.00 ,0.5
1432.00 ,0.5
1347.00 ,0.5
986.00 ,0.5
1447.00 ,0.5
1313.00 ,0.5
1378.00 ,0.5
1650.00 ,0.5
1600.00 ,0.5
1604.00 ,0.5
1378.00 ,0.5
1294.00 ,0.5
1847.00 ,0.5
1611.00 ,0.5
1616.00 ,0.5